timestamp,m5_price_momentum_3,m5_price_momentum_6,m5_price_acceleration,m5_volatility_3,m5_volatility_6,m5_max_move_3,m5_avg_range_3,m5_avg_range_6,m5_range_expansion,m5_trend_consistency,m5_volume_trend,m5_volume_avg,m5_spread_avg,m5_spread_volatility,m5_spread_trend,m5_resistance_distance,m5_support_distance,m15_momentum_4h,m15_momentum_2h,m15_momentum_1h,m15_trend_slope,m15_vol_regime,m15_avg_range,m15_range_volatility,m15_current_range_percentile,m15_price_vs_sma20,m15_price_vs_sma50,m15_sma20_vs_sma50,momentum_confluence,momentum_divergence,vol_m5_vs_m15,vol_regime_alignment,price_level_diff,price_level_alignment,trend_strength_ratio,session_asia,session_london,session_newyork,session_overlap,session_transition,session_vol_anomaly,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,is_weekend,current_open,current_high,current_low,current_close,current_volume,current_spread
2023-11-08 04:15:00+00:00,0.06999999999993634,0.11000000000012733,0.02999999999974534,1.835546081475012e-05,2.6115820010616487e-05,3.136016892679727e-05,0.0,0.0,1,0.7272727272727273,,0.0,0.0003,0.0,0,5.2265035997496e-06,4.703853239786524e-05,0,0,0.0,0.0,1.0,0.9900000000000091,0.4525483399593004,-0.7071067811865476,0,0,0,0,1,1.0,1,0.0002979994824219183,1,0.12277043201856343,1,0,0,0,0,1.25,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,1913.325,1913.325,1913.325,1913.325,0,0.0003
2023-11-08 04:30:00+00:00,-0.03999999999996362,-0.01999999999998181,-0.05999999999994543,7.985819287465238e-06,1.222359834935172e-05,1.5683855300707705e-05,0.0,0.0,1,0.2727272727272727,,0.0,0.0003,0.0,0,2.091224438046881e-05,0.0,0,0,0.0,0.0,1.0,0.9266666666666575,0.3382799629497726,-0.3744433030031706,0,0,0,0,1,0.04164139088530118,0,8.36419809556904e-05,1,0.25002091224438044,1,0,0,0,0,1.25,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,1912.755,1912.755,1912.755,1912.755,0,0.0003
2023-11-08 04:45:00+00:00,0.009999999999990905,0.0,0.01999999999998181,3.0181857917384022e-06,3.3062482398092624e-06,5.22765113797341e-06,0.0,0.0,1,0.18181818181818182,,0.0,0.0003,0.0,0,0.0,5.22762380973065e-06,0,0,0.0,0.0,1.0,0.9399999999999977,0.27748873851019284,0.1441499940313836,0,0,0,0,1,0.04888571855420219,0,0.0001934595002992823,1,0.027021799403200687,1,0,0,0,0,1.25,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,1912.915,1912.915,1912.915,1912.915,0,0.0003
2023-11-08 05:00:00+00:00,-0.09999999999990905,-0.06999999999993634,-0.12999999999988177,3.0185960760571093e-05,2.35001609389633e-05,5.22836177125896e-05,0.0,0.0,1,0.36363636363636365,,0.0,0.0003,0.0,0,5.228635143220633e-05,0.0,0,0,-1.4800000000000182,0.0,1.0,1.1008000000000266,0.43247335178023394,1.4872592666171125,0,0,0,1,0,0.1370622329039287,0,0.0003661384683381997,1,0.14280485650557145,1,0,0,0,0,1.25,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0,1912.545,1912.545,1912.545,1912.545,0,0.0003
2023-11-08 05:15:00+00:00,0.03999999999996362,0.01999999999998181,0.05999999999994543,7.98997253263322e-06,1.0285392219515632e-05,1.5691976953613462e-05,0.0,0.0,1,0.6363636363636364,,0.0,0.0003,0.0,0,0.0,2.0922198190733882e-05,0,0,-0.290000000000191,0.0,1.211915598294142,1.047333333333351,0.4083854388524356,-0.6546103457669445,0,0,0,1,0,0.030187435430840938,0,0.00032418893940536995,1,0.06453705123040149,1,0,0,0,0,1.25,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0,1911.845,1911.845,1911.845,1911.845,0,0.0003
2023-11-08 05:30:00+00:00,0.0,0.01999999999998181,-0.01999999999998181,5.2288675319093925e-06,8.538783058546682e-06,5.228881202468116e-06,0.0,0.0,1,0.5454545454545454,,0.0,0.0003,0.0,0,0.0,2.09154154454924e-05,0,0,-0.30999999999994543,0.0,1.128827053013935,0.9448571428571475,0.46096833896033773,-1.333838120518128,0,0,0,0,0,0.040096207262702535,0,7.319859563271039e-05,1,0.0,1,0,0,0,0,1.25,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0,1912.465,1912.465,1912.465,1912.465,0,0.0003
2023-11-08 05:45:00+00:00,0.0,0.08999999999991815,-0.08999999999991815,9.055953945625393e-06,1.2262111612243542e-05,1.0456942233227906e-05,0.0,0.0,1,0.6363636363636364,,0.0,0.0003,0.0,0,1.0456942233227357e-05,4.182776893290943e-05,0,0,-0.2300000000000182,-0.11749999999997061,1.0767752875966303,0.8880000000000052,0.45606766415275585,-0.8726775241550332,0,0,0,0,0,0.050863387304887375,0,0.0001516486562098627,1,0.0,1,0,0,0,0,1.25,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0,1912.605,1912.605,1912.605,1912.605,0,0.0003
2023-11-08 06:00:00+00:00,-0.03999999999996362,-0.01999999999998181,-0.05999999999994543,3.0191090880092034e-06,7.872787322453652e-06,1.0458418634784472e-05,0.0,0.0,1,0.6363636363636364,,0.0,0.0003,0.0,0,2.6146320036162725e-05,0.0,0,0,0.75,-0.03952380952375679,0.7159617601086854,0.8379999999999939,0.4239919136695704,0.1698145593785366,0,0,0,0,1,0.044236933730158086,0,0.00014639795670279003,1,0.14287805991305577,1,0,0,0,0,1.25,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,1912.315,1912.315,1912.315,1912.315,0,0.0003
2023-11-08 06:15:00+00:00,0.0,-0.01999999999998181,0.01999999999998181,0.0,4.269006469836669e-06,0.0,0.0,0.0,1,0.0,,0.0,0.0003,0.0,0,1.0456996907333654e-05,0.0,0,0,0.8000000000001819,0.05059523809545398,0.8255931272232587,0.8567499999999768,0.4187859153042151,-0.08775366758298087,0,0,0,0,0,0.027173120667693392,0,0.0003501867226965803,1,0.0,1,0,0,0,0,1.25,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,1912.595,1912.595,1912.595,1912.595,0,0.0003
2023-11-08 06:30:00+00:00,0.009999999999990905,0.009999999999990905,0.009999999999990905,3.017633661974457e-06,3.934504457729752e-06,5.226694821169886e-06,0.0,0.0,1,0.2727272727272727,,0.0,0.0003,0.0,0,0.0,5.2266675029287135e-06,0,0,1.3799999999998818,0.20571428571443218,1.0331229893169187,0.8842499999999802,0.42173984872198883,0.32188089508584256,0,0,0,1,0,0.017584285613925804,0,0.00037617849669657803,1,0.013894115556383048,1,0,0,0,0,1.2499999999999998,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,1913.265,1913.265,1913.265,1913.265,0,0.0003
