timestamp,m5_price_momentum_3,m5_price_momentum_6,m5_price_acceleration,m5_volatility_3,m5_volatility_6,m5_max_move_3,m5_avg_range_3,m5_avg_range_6,m5_range_expansion,m5_trend_consistency,m5_volume_trend,m5_volume_avg,m5_spread_avg,m5_spread_volatility,m5_spread_trend,m5_resistance_distance,m5_support_distance,m15_momentum_4h,m15_momentum_2h,m15_momentum_1h,m15_trend_slope,m15_vol_regime,m15_avg_range,m15_range_volatility,m15_current_range_percentile,m15_price_vs_sma20,m15_price_vs_sma50,m15_sma20_vs_sma50,momentum_confluence,momentum_divergence,vol_m5_vs_m15,vol_regime_alignment,price_level_diff,price_level_alignment,trend_strength_ratio,session_asia,session_london,session_newyork,session_overlap,session_transition,session_vol_anomaly,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,is_weekend,current_open,current_high,current_low,current_close,current_volume,current_spread,target_direction_1,target_direction_3,target_direction_5,target_price_1,target_return_1
2023-11-08 15:15:00+00:00,-0.015999999999849,-0.0099999999999909,-0.0219999999997071,4.814953738897916e-06,4.394061777875094e-06,8.339744511864922e-06,0.0,0.0,1,0.2727272727272727,,0.0,0.0003,0.0,0,1.0424767579797327e-05,0.0,0,0,-0.9900000000000092,0.1031547619049616,1.5380660439181089,1.4124999999999943,0.5356368705968911,0.3183126654632481,0,0,0,1,0,0.0200444168655871,0,0.000585693535727,1,0.0142392113879383,0,1,1,1,0,0.6666666666666667,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.2225209339563143,0,1918.508,1918.508,1918.508,1918.508,0,0.0003,1,0,1,1917.995,0.0003181416356130562
2023-11-08 15:30:00+00:00,0.0599999999999454,0.0799999999999272,0.0399999999999636,1.0880774059758036e-10,8.516976716710722e-06,1.043119971844142e-05,0.0,0.0,1,0.8181818181818182,,0.0,0.0003,0.0,0,0.0,3.129261989634081e-05,0,0,-0.6300000000001091,-0.0389404761903246,1.4979593048671402,1.4212500000000148,0.5378376680215302,0.2765704390831069,0,0,0,1,0,0.026474773306764,0,0.0003180404537029,1,0.0983919483575279,0,1,1,1,0,0.6666666666666666,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.2225209339563143,0,1917.385,1917.385,1917.385,1917.385,0,0.0003,0,1,0,1917.895,-5.2137779295469144e-05
2023-11-08 15:45:00+00:00,0.0199999999999818,0.0,0.0399999999999636,1.204076714275874e-05,1.1422874684050624e-05,1.0427664594248045e-05,0.0,0.0,1,0.5454545454545454,,0.0,0.0003,0.0,0,0.0,1.0427555859103807e-05,0,0,-1.009999999999991,-0.1182976190475653,1.1643139621794512,1.3871249999999975,0.55991337021262,-0.7681991945232225,0,0,0,0,1,0.0357567321479997,0,5.2140497785284935e-05,1,0.1999895724441409,0,1,1,1,0,0.6666666666666667,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.2225209339563143,0,1917.995,1917.995,1917.995,1917.995,0,0.0003,0,1,0,1917.325,-0.0002972008373763879
2023-11-08 16:00:00+00:00,-0.0099999999999909,0.0199999999999818,-0.0399999999999636,3.010317347252934e-06,5.38506500453156e-06,5.214022592348044e-06,0.0,0.0,1,0.6363636363636364,,0.0,0.0003,0.0,0,5.214049778528494e-06,5.214049778528494e-06,0,0,-1.1829999999999927,-0.1768214285713512,1.0193245238040878,1.337124999999986,0.595725353185994,-0.9016319300957022,0,0,0,1,0,0.0356785779552479,0,0.0002972891919731,1,0.0175386455993302,0,0,1,0,1,0.7692307692307692,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0,1917.895,1917.895,1917.895,1917.895,0,0.0003,1,1,1,1918.035,0.0003703075900016728
2023-11-08 16:15:00+00:00,0.0370000000000345,0.0800000000001546,-0.0060000000000854,3.5502450861910053e-06,5.170415112070531e-06,1.0431362935880983e-05,0.0,0.0,1,0.8181818181818182,,0.0,0.0003,0.0,0,0.0,2.60779992958703e-05,0,0,0.650000000000091,-0.1578452380951831,0.8589856996865339,1.3758749999999793,0.5682166180252064,-0.3975156530710543,0,0,0,1,0,0.0205750194907469,0,0.0003701705130511,1,0.052131973775863,0,0,1,0,1,0.7692307692307693,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0,1917.325,1917.325,1917.325,1917.325,0,0.0003,1,0,1,1918.245,0.00010948705315594331
2023-11-08 16:30:00+00:00,0.0099999999999909,0.0400000000001909,-0.0200000000002091,6.020242323584525e-06,7.123342280644199e-06,5.2136963804017e-06,0.0,0.0,1,0.6363636363636364,,0.0,0.0003,0.0,0,0.0,5.2136691978983205e-06,0,0,0.25,-0.0864880952380475,0.828344957873484,1.1533750000000111,0.3021248263786109,-1.0703357412760768,0,0,0,1,0,0.0172213130665413,0,0.0001094750670533,1,0.0476242612882455,0,0,1,0,1,0.7692307692307692,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0,1918.035,1918.035,1918.035,1918.035,0,0.0003,0,0,1,1917.845,-0.00020852393724468676
2023-11-08 16:45:00+00:00,0.0899999999999181,0.1099999999998999,0.0699999999999363,5.213533276462186e-06,8.9794110794321e-06,2.0853372120654967e-05,0.0,0.0,1,0.8181818181818182,,0.0,0.0003,0.0,0,0.0,4.691788588001957e-05,0,0,-0.0499999999999545,-0.0094166666666499,0.951670783424146,1.1121249999999918,0.3329673675559901,-1.057536066025417,0,0,0,0,1,0.0217160000581764,0,0.000208567428546,1,0.224953082113992,0,0,1,0,1,0.7692307692307692,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0,1918.245,1918.245,1918.245,1918.245,0,0.0003,0,1,1,1917.635,-0.00010949789998671022
2023-11-08 17:00:00+00:00,0.0799999999999272,0.0799999999999272,0.0799999999999272,1.0854621953769416e-05,1.2191653807079876e-05,2.6071880173672568e-05,0.0,0.0,1,0.7272727272727273,,0.0,0.0003,0.0,0,0.0,4.171348570918257e-05,0,0,0.3099999999999454,0.0328571428572584,0.8861023763696033,1.071249999999992,0.3341140737618681,-0.4526897005480425,0,0,0,0,1,0.0366902074231655,0,0.0001095098910898,1,0.3809106674662593,0,0,1,0,0,0.7692307692307693,-0.9659258262890684,-0.2588190451025206,0.9749279121818236,-0.2225209339563143,0,1917.845,1917.845,1917.845,1917.845,0,0.0003,1,1,1,1917.665,1.564427015576797e-05
2023-11-08 17:15:00+00:00,-0.0399999999999636,-0.0599999999999454,-0.0199999999999818,6.021388190597816e-06,5.712360619831134e-06,1.0429404663447883e-05,0.0,0.0,1,0.0,,0.0,0.0003,0.0,0,3.1288540311344666e-05,0.0,0,0,-0.3700000000001182,-0.0219047619046063,0.5678723366845821,0.9371249999999804,0.3141025480862989,-1.3598265999505297,0,0,0,0,1,0.0218641373556269,0,1.5644025416312397e-05,1,1.3333541923602077,0,0,1,0,0,0.7692307692307692,-0.9659258262890684,-0.2588190451025206,0.9749279121818236,-0.2225209339563143,0,1917.635,1917.635,1917.635,1917.635,0,0.0003,1,1,0,1918.545,0.00045889141221233665
2023-11-08 17:30:00+00:00,0.0199999999999818,0.0399999999999636,0.0,1.204283918017884e-05,1.0771456862435508e-05,1.042945904994319e-05,0.0,0.0,1,0.3636363636363636,,0.0,0.0003,0.0,0,0.0,1.04293502775416e-05,0,0,0.3000000000001819,0.0553571428573571,1.1816628334592691,0.937124999999952,0.3141025480862334,2.0148674496783623,0,0,0,1,0,0.0284542129571338,0,0.0004586809274737,1,0.0227377020775267,0,0,1,0,0,0.7692307692307692,-0.9659258262890684,-0.2588190451025206,0.9749279121818236,-0.2225209339563143,0,1917.665,1917.665,1917.665,1917.665,0,0.0003,1,1,0,1918.854,0.00016105955294243302
2023-11-08 17:45:00+00:00,-0.0599999999999454,-0.099999999999909,-0.0199999999999818,9.02768063937004e-06,6.312232978616684e-06,2.0848589723176936e-05,0.0,0.0,1,0.2727272727272727,,0.0,0.0003,0.0,0,4.691054940067506e-05,0.0,0,0,1.0090000000000146,0.1345595238096648,1.045961031113981,0.8971249999999884,0.331124248367749,-0.785581247166534,0,0,0,0,1,0.0386843315994923,0,0.00016103361694,1,0.1942060309809967,0,0,1,0,0,0.7692307692307692,-0.9659258262890684,-0.2588190451025206,0.9749279121818236,-0.2225209339563143,0,1918.545,1918.545,1918.545,1918.545,0,0.0003,1,0,0,1919.945,0.0005685685310086175
